IsUsed,VarName,Type
1,VMG,number
1,BSP,number
1,Tgt_BSP,number
1,TWA,angle180
1,TWS,number
1,FoilCant,number
1,Heel,number
1,Trim,number
1,HullAltitude,number
1,Tgt_Trim,number
1,Rudder_Angle,number
1,Rudder_Rake,number
1,Rudder_Draft,number
1,FoilPort_Sink,number
1,Tgt_FoilPort_Sink,number
1,Tgt_FoilStbd_Sink,number
1,Flap,number
1,MainSheetLoad,number
1,Tgt_MainSheet,number
1,Tgt_MainCunninghamLoad_kg,number
1,JibSheetLoad,number
1,JibTrack,number
1,Tgt_JibSheetLoad,number
1,Tgt_JibCunninghamLoad_kg,number
1,JibCunninghamLoad_kg,number
1,MainCunninghamLoad_kg,number
1,MastRotation_angle,number
1,Traveller_angle,number
1,Tgt_VMG,number
1,Tgt_MainTraveller_n,number
1,MainTraveller,number
1,Leeway,number
1,AverageClewPC,number
1,Tgt_Clew,number
1,AWA_bow,angle180
1,AWS,number
